name,types,position,position1,position2,houseType,space,unitPrice,totalPrice
北辰墅院1900,住宅,顺兴街11号院望尊园,顺义,马坡,3室,83,36000,430
燕西华府,别墅,"王佐镇青龙湖公园东1500米, 泉湖西路1号院（七区）, 泉湖西路1号院（六区）",丰台,丰台其它,3室,350,47000,1400
京西悦府,住宅,燕房线阎村地铁站东南角约189米,房山,阎村,,120,33000,440
福景苑,住宅,亮马桥路46号,朝阳,燕莎,1室,145,83000,1150
合景寰汇公馆,住宅,北京市通州区滨河中路西侧（合景寰汇公馆）,通州,武夷花园,2室,77,35000,280
K2十里春风,住宅,北京市通州区,通州,通州其它,2室,74,23500,188
K2十里春风,别墅,北京市通州区,通州,通州其它,3室,155,28000,440
玺萌壹院,别墅,西南三环嘉园路与镇国寺北街交叉口,丰台,草桥,5室,320,90000,3650
北京书院,住宅,北京市朝阳区北土城东路辅路,朝阳,惠新西街,1室,79,155000,1066
中铁华侨城和园,住宅,南五环南海子公园西侧约500米,大兴,瀛海,3室,154,60000,930
顺鑫颐和天Z,住宅,北京市顺义区牛栏山镇牛富路顺鑫颐和天Z禧润售楼中心,顺义,顺义其它,4室,110,28000,400
顺鑫颐和天Z,别墅,新城右堤路与昌金路交汇处向北200米,顺义,顺义其它,4室,278,28000,950
永旺19街,商业,地铁生物医药基地站向南200米,大兴,天宫院,,,24000,299
北京城建北京合院,住宅,燕京街与通顺路交汇口东800米(仁和公园南),顺义,顺义其它,3室,95,46000,556
复地运河公馆,住宅,通州运河核心区临滨河西路,通州,武夷花园,2室,89,43000,450
北京城建北京合院,别墅,燕京街与通顺路交汇口东800米(仁和公园南),顺义,顺义其它,4室,210,39000,1000
月亮河七星公馆,住宅,通燕高速耿庄桥出口南200米月亮河，河滨路1号,通州,武夷花园,1室,55,68000,374
天润福熙大道,住宅,"清河营东路1号院, 清河营东路3号院",朝阳,北苑,1室,65,108000,750
京贸国际公馆,住宅,怡乐中路299号院（广渠快速路二期出口向南1000米）,通州,九棵树(家乐福),1室,72,64000,495
凯德麓语,别墅,兴寿镇京承高速G11出口向西怀昌路北侧,昌平,昌平其它,3室,280,35000,850
京贸国际城・峰景,住宅,芙蓉东路1号（通燕高速耿庄桥北出口向南300米）,通州,武夷花园,1室,69,68000,460
观唐云鼎,别墅,溪翁庄镇密溪路39号院（云佛山度假村对面）,密云,溪翁庄镇,3室,346,30000,1068
旭辉城,住宅,北京市房山区良锦街6号院旭辉城营销中心,房山,房山其它,2室,75,28500,219
檀香府,住宅,京潭大街与潭柘十街交叉口,门头沟,门头沟其它,3室,124,42000,530
泰禾金府大院,别墅,南四环地铁新宫站南800米,丰台,新宫,4室,362,75000,2700
和棠瑞著,别墅,金海湖景区坝前广场西侧500米,平谷,平谷其它,3室,305,16000,530
尊悦光华,住宅,北京市朝阳区光华东里甲1号院3号楼,朝阳,CBD,3室,133,150000,2500
首创・河著,别墅,京承高速11出口（昌金路）向东900 米路北,顺义,顺义其它,4室,248,38000,1200
华萃西山,住宅,永定镇地铁S1号线石厂西南700米,门头沟,门头沟其它,3室,115,48000,560
京西悦府,别墅,北京市房山区燕房线阎村地铁站东南角约189米,房山,阎村,3室,175,40000,700
中粮天恒天悦壹号,别墅,南四环地铁新宫站南500米,丰台,新宫,4室,220,80000,2000
龙湾别墅,住宅,后沙峪镇龙湾别墅,顺义,中央别墅区,4室,218,70000,2300
京投发展・锦悦府,住宅,檀营乡檀东路西侧,密云,鼓楼街道,3室,90,25607,220
京投发展・锦悦府,别墅,檀营乡檀东路西侧,密云,鼓楼街道,3室,187,25000,400
金辰府,住宅,北京市昌平区北七家镇政府东南100米,昌平,北七家,3室,89,55000,490
建邦・顺颐府,住宅,空港B区裕民大街30号千里马国际一层建邦・顺颐府售楼中心,顺义,后沙峪,3室,89,55583,480
葛洲坝中国府,住宅,北京市丰台东路46号,丰台,玉泉营,3室,168,125000,2200
华萃西山,别墅,门头沟永定镇地铁S1号线石厂站西南700米,门头沟,门头沟其它,4室,135,48000,760
富兴首府,住宅,东坝路9号东北60米,朝阳,东坝,3室,144,85000,1706
中铁诺德阅墅,别墅,顺义区后沙峪镇裕园路762乡龙湖滟澜山对面,顺义,中央别墅区,4室,235,50000,1150
中铁华侨城和园,别墅,南五环南海子公园西侧约500米,大兴,瀛海,4室,288,50000,1870
懋源・Z岳,别墅,南三环西路99号院,丰台,玉泉营,4室,465,140000,6500
合景泰富天汇,住宅,顺义区昌金路与通顺路交汇处,顺义,马坡,2室,70,33000,230
懋源・Z玺,别墅,孙河京密路与京平辅路交叉口西行1000米,朝阳,中央别墅区,5室,500,100000,4380
万科庐,住宅,魏各庄路万科庐。售楼处位置在山湖路与泉湖西湖交叉位置,丰台,丰台其它,4室,104,39000,656
万科庐,别墅,魏各庄路万科庐,丰台,丰台其它,4室,200,30000,852
金茂北京国际社区,住宅,顺义新城北小营昌金路水色时光路西,顺义,顺义其它,1室,50,30000,160
住总如院,住宅,北京市大兴区采华路(波尔多小镇南区西南侧约250米),大兴,大兴新机场洋房别墅区,2室,98,31136,280
郎府书苑,住宅,西集镇京哈高速郎府出口南侧300米,通州,通州其它,3室,89,25800,273
建邦・顺颐府,别墅,空港B区裕民大街30号,顺义,后沙峪,3室,270,55583,1300
